aeid,assay_name
907,CEETOX_H295R_ESTRADIOL
909,CEETOX_H295R_ESTRONE
913,CEETOX_H295R_PROG
915,CEETOX_H295R_TESTO
916,LTEA_HepaRG_ABCB1
918,LTEA_HepaRG_ABCB11
920,LTEA_HepaRG_ABCC2
922,LTEA_HepaRG_ABCC3
924,LTEA_HepaRG_ABCG2
926,LTEA_HepaRG_ACLY
928,LTEA_HepaRG_ACOX1
930,LTEA_HepaRG_ADK
932,LTEA_HepaRG_AFP
1014,LTEA_HepaRG_GADD45G
1016,LTEA_HepaRG_GCLC
1018,LTEA_HepaRG_GCLM
1026,LTEA_HepaRG_GSTA2
1028,LTEA_HepaRG_GSTM3
1030,LTEA_HepaRG_HGF
1032,LTEA_HepaRG_HIF1A
1034,LTEA_HepaRG_HMGCS2
1036,LTEA_HepaRG_HSPA1A
1038,LTEA_HepaRG_ICAM1
1040,LTEA_HepaRG_IGF1
1042,LTEA_HepaRG_IGFBP1
1044,LTEA_HepaRG_IL6
1046,LTEA_HepaRG_IL6R
1048,LTEA_HepaRG_JUN
1050,LTEA_HepaRG_KCNK1
1052,LTEA_HepaRG_KRT19
1054,LTEA_HepaRG_LIPC
1056,LTEA_HepaRG_LPL
1058,LTEA_HepaRG_MIR122
1060,LTEA_HepaRG_MMP10
1062,LTEA_HepaRG_MMP3
1064,LTEA_HepaRG_MYC
1066,LTEA_HepaRG_NFE2L2
934,LTEA_HepaRG_ALPP
936,LTEA_HepaRG_APOA5
938,LTEA_HepaRG_BAD
940,LTEA_HepaRG_BAX
942,LTEA_HepaRG_BCL2
944,LTEA_HepaRG_BCL2L11
946,LTEA_HepaRG_BID
948,LTEA_HepaRG_CASP3
950,LTEA_HepaRG_CASP8
952,LTEA_HepaRG_CAT
1068,LTEA_HepaRG_NFKB1
1070,LTEA_HepaRG_NQO1
1072,LTEA_HepaRG_PDK4
1074,LTEA_HepaRG_PEG10
1076,LTEA_HepaRG_PPP2R4
1078,LTEA_HepaRG_PTEN
1080,LTEA_HepaRG_SDHB
1082,LTEA_HepaRG_SLC22A1
954,LTEA_HepaRG_CCND1
956,LTEA_HepaRG_CCND2
958,LTEA_HepaRG_CDKN1A
960,LTEA_HepaRG_CFLAR
962,LTEA_HepaRG_CYP1A1
964,LTEA_HepaRG_CYP1A2
966,LTEA_HepaRG_CYP24A1
968,LTEA_HepaRG_CYP2B6
1084,LTEA_HepaRG_SLCO1B1
1086,LTEA_HepaRG_STAT3
1088,LTEA_HepaRG_SULT2A1
1090,LTEA_HepaRG_TGFA
1092,LTEA_HepaRG_TGFB1
1094,LTEA_HepaRG_THRSP
1096,LTEA_HepaRG_TIMP1
1098,LTEA_HepaRG_TNFRSF1A
970,LTEA_HepaRG_CYP2C19
972,LTEA_HepaRG_CYP2C8
974,LTEA_HepaRG_CYP2C9
976,LTEA_HepaRG_CYP2E1
978,LTEA_HepaRG_CYP3A4
980,LTEA_HepaRG_CYP3A5
982,LTEA_HepaRG_CYP3A7
984,LTEA_HepaRG_CYP4A11
986,LTEA_HepaRG_CYP4A22
988,LTEA_HepaRG_CYP7A1
990,LTEA_HepaRG_DDIT3
992,LTEA_HepaRG_EGF
994,LTEA_HepaRG_EGR1
996,LTEA_HepaRG_EZR
998,LTEA_HepaRG_FABP1
1000,LTEA_HepaRG_FAS
1002,LTEA_HepaRG_FASN
1004,LTEA_HepaRG_FMO3
1006,LTEA_HepaRG_FOXO1
1008,LTEA_HepaRG_FOXO3
1010,LTEA_HepaRG_GADD45A
1012,LTEA_HepaRG_GADD45B
1100,LTEA_HepaRG_TP53
1102,LTEA_HepaRG_UGT1A1
1104,LTEA_HepaRG_UGT1A6
1106,LTEA_HepaRG_XBP1
1108,TOX21_ARE_BLA_Agonist_ch1
1109,TOX21_ARE_BLA_Agonist_ch2
1110,TOX21_ARE_BLA_Agonist_ratio
1111,TOX21_HSE_BLA_Agonist_ch1
1112,TOX21_HSE_BLA_Agonist_ch2
1113,TOX21_HSE_BLA_Agonist_ratio
1114,TOX21_p53_BLA_p1_ch1
1115,TOX21_p53_BLA_p1_ch2
1116,TOX21_p53_BLA_p1_ratio
1117,TOX21_FXR_BLA_Agonist_ch1
1118,TOX21_FXR_BLA_Agonist_ch2
1119,TOX21_FXR_BLA_Agonist_ratio
1120,TOX21_FXR_BLA_Antagonist_ratio
1121,TOX21_FXR_BLA_Antagonist_viability
1122,TOX21_PPARd_BLA_Agonist_ch1
1123,TOX21_PPARd_BLA_Agonist_ch2
1124,TOX21_PPARd_BLA_Agonist_ratio
1125,TOX21_PPARd_BLA_Antagonist_ratio
1126,TOX21_PPARd_BLA_Antagonist_viability
1127,TOX21_PPARg_BLA_Antagonist_ratio
1128,TOX21_PPARg_BLA_Antagonist_viability
1129,TOX21_VDR_BLA_Agonist_ch1
1130,TOX21_VDR_BLA_Agonist_ch2
1131,TOX21_VDR_BLA_Agonist_ratio
1132,TOX21_VDR_BLA_Antagonist_ratio
1133,TOX21_VDR_BLA_Antagonist_viability
1134,TOX21_DT40_LUC
1136,LTEA_HepaRG_LDH_cytotoxicity
1185,TOX21_ARE_BLA_agonist_viability
1186,TOX21_HSE_BLA_agonist_viability
1187,TOX21_p53_BLA_p1_viability
1188,TOX21_FXR_BLA_agonist_viability
1189,TOX21_ERa_BLA_Antagonist_ch1
1190,TOX21_ERa_BLA_Antagonist_ch2
1191,TOX21_FXR_BLA_Antagonist_ch1
1192,TOX21_FXR_BLA_Antagonist_ch2
1193,TOX21_GR_BLA_Antagonist_ch1
1194,TOX21_GR_BLA_Antagonist_ch2
1195,TOX21_PPARd_BLA_Agonist_viability
1196,TOX21_PPARd_BLA_Antagonist_ch1
1197,TOX21_PPARd_BLA_Antagonist_ch2
1198,TOX21_PPARg_BLA_Antagonist_ch1
1199,TOX21_PPARg_BLA_Antagonist_ch2
1200,TOX21_VDR_BLA_Antagonist_ch1
1201,TOX21_VDR_BLA_Antagonist_ch2
1202,TOX21_AR_BLA_Antagonist_ch1
1203,TOX21_AR_BLA_Antagonist_ch2
1204,ATG_XTT_Cytotoxicity
1315,TOX21_p53_BLA_p2_ch1
1316,TOX21_p53_BLA_p2_ch2
1317,TOX21_p53_BLA_p2_ratio
1318,TOX21_p53_BLA_p2_viability
1319,TOX21_p53_BLA_p3_ch1
1320,TOX21_p53_BLA_p3_ch2
1321,TOX21_p53_BLA_p3_ratio
1322,TOX21_p53_BLA_p3_viability
1323,TOX21_p53_BLA_p4_ch1
1324,TOX21_p53_BLA_p4_ch2
1325,TOX21_p53_BLA_p4_ratio
1326,TOX21_p53_BLA_p4_viability
1327,TOX21_p53_BLA_p5_ch1
1328,TOX21_p53_BLA_p5_ch2
1329,TOX21_p53_BLA_p5_ratio
1330,TOX21_p53_BLA_p5_viability
1331,TOX21_VDR_BLA_Agonist_viability
1340,TOX21_ESRE_BLA_Agonist_ch1
1341,TOX21_ESRE_BLA_Agonist_ch2
1342,TOX21_ESRE_BLA_Agonist_ratio
1343,TOX21_ESRE_BLA_Agonist_viability
1344,TOX21_NFkB_BLA_agonist_ch1
1345,TOX21_NFkB_BLA_agonist_ch2
1346,TOX21_NFkB_BLA_agonist_ratio
1347,TOX21_NFkB_BLA_agonist_viability
1348,ATG_NUR77_TRANS2
1349,ATG_GCNF_TRANS2
1350,ATG_COUP_TF2_TRANS2
1392,LTEA_HepaRG_KLK3
1394,LTEA_HepaRG_SLC10A1
1396,LTEA_HepaRG_MMP1
1398,LTEA_HepaRG_CYP24A1_1
1507,CCTE_Padilla_ZF_144hpf_TERATOSCORE
1508,CCTE_Simmons_AUR_TPO
1509,CCTE_Simmons_CellTiterGLO_HEK293T
1611,CLD_ABCB1_6hr
1612,CLD_ABCB11_6hr
1613,CLD_ABCG2_6hr
1614,CLD_ACTIN_6hr
1615,CLD_CYP1A1_6hr
1616,CLD_CYP1A2_6hr
1617,CLD_CYP2B6_6hr
1618,CLD_CYP2C19_6hr
1351,ATG_PNR_TRANS2
1352,ATG_LRH1_TRANS2
1353,ATG_Rev_ERB_A_TRANS2
1354,ATG_HNF4g_TRANS2
1355,ATG_ERRb_TRANS2
1356,ATG_MR_TRANS2
1357,ATG_COUP_TF1_TRANS2
1619,CLD_CYP2C9_6hr
1620,CLD_CYP3A4_6hr
1621,CLD_GAPDH_6hr
1622,CLD_GSTA2_6hr
1623,CLD_HMGCS2_6hr
1624,CLD_SLCO1B1_6hr
